id_A,id_B,is_match
A00323,B00312,1
A00379,B00368,1
A00166,B00155,1
A00044,B00256,0
A00139,B00128,1
A00317,B00306,1
A00193,B00182,1
A00350,B00117,0
A00358,B00097,0
A00337,B00326,1
A00131,B00120,1
A00171,B00160,1
A00431,B00399,0
A00088,B00248,0
A00201,B00190,1
A00349,B00338,1
A00180,B00169,1
A00142,B00295,0
A00289,B00145,0
A00169,B00158,1
A00172,B00161,1
A00386,B00077,0
A00287,B00276,1
A00334,B00323,1
A00106,B00095,1
A00343,B00332,1
A00076,B00065,1
A00097,B00096,0
A00161,B00150,1
A00099,B00340,0
A00140,B00129,1
A00013,B00275,0
A00321,B00310,1
A00089,B00078,1
A00163,B00152,1
A00367,B00356,1
A00144,B00133,1
A00345,B00334,1
A00004,B00253,0
A00132,B00293,0
A00073,B00070,0
A00195,B00184,1
A00377,B00366,1
A00213,B00423,0
A00162,B00151,1
A00086,B00075,1
A00151,B00140,1
A00416,B00405,1
A00340,B00329,1
A00148,B00137,1
A00228,B00217,1
