id_A,id_B,predicted_match,hotel_name,address,city,country,latitude,longitude,rating,reviews_count,enriched_category_stars,enriched_review_score,enriched_amenities
A00202,B00191,1,Hotel Copacabana,"Praça da Sé, 2476",Belo Horizonte,BR,-19.886827,-44.018908,3.4,791.0,5.0,7.8,"spa, air_conditioning, gym, restaurant, bar"
A00203,B00192,1,Grand Hotel Liberdade 2,"Street Copacabana, 5250",Belo Horizonte,BR,-20.016427,-43.970214,3.4,550.0,3.0,7.2,"pet_friendly, gym, spa, bar, restaurant"
A00205,B00194,1,Grand Hotel Augusta Boutique,"Av. Copacabana, 5783",Belo Horizonte,BR,-19.998819,-44.002799,4.0,24.0,4.0,9.2,"air_conditioning, restaurant, spa, pool, wifi"
A00252,B00241,1,Suites Copacabana,"Avenue Augusta, 661",Belo Horizonte,BR,-19.923939,-44.014796,4.2,1037.0,3.0,7.3,"air_conditioning, pool, wifi"
A00254,B00243,1,Residency Gaudí Saint,Avenue Liberdade 6749,Belo Horizonte,BR,-19.847713,-43.95411,4.9,866.0,3.0,9.6,"air_conditioning, spa, pet_friendly, restaurant, parking"
A00263,B00252,1,Pousada Gaudí Saint,"Praça Europa, 2071",Belo Horizonte,BR,-19.933859,-43.94342,4.3,1.0,4.0,8.1,"pet_friendly, bar, restaurant, gym"
A00267,B00256,1,Pousada Cathedral,"Rua das Flores, 9715",Belo Horizonte,BR,-19.946424,-43.911729,4.4,766.0,4.0,9.1,"wifi, pool, bar, spa, pet_friendly"
A00273,B00262,1,Palace Gaudí Saint Boutique,"Street Liberdade, 8449",Belo Horizonte,BR,-19.959006,-43.927249,3.4,480.0,3.0,8.5,"spa, parking, restaurant, air_conditioning, pool"
A00286,B00275,1,Palace Europa II,"Avenida dos Andradas, 1816",Belo Horizonte,BR,-19.910731,-43.937714,4.7,436.0,3.0,7.4,"parking, gym, restaurant, pool, bar, air_conditioning"
A00289,B00278,1,Residency Liberdade & Spa,"Praça das Flores, 2208",Belo Horizonte,BR,-19.889036,-43.906878,2.6,224.0,5.0,9.3,"pool, restaurant, bar, gym, wifi"
A00315,B00304,1,Palace Seine Saint,"Avenida das Flores, 5308",Belo Horizonte,BR,-19.82216,-43.977315,3.7,701.0,5.0,8.7,"restaurant, pool, pet_friendly"
A00321,B00310,1,Pousada Liberdade II,"Avenida Paulista, 6319",Belo Horizonte,BR,-19.953376,-43.994641,5.0,836.0,4.0,9.0,"pool, bar, pet_friendly, parking, gym, restaurant"
A00324,B00313,1,Suites Gaudí,"Praça Copacabana, 6802",Belo Horizonte,BR,-19.876836,-44.051893,3.9,438.0,5.0,8.6,"gym, parking, wifi, restaurant"
A00339,B00328,1,Grand Hotel Augusta II,"Av. Augusta, 5233",Belo Horizonte,BR,-19.922291,-43.905614,4.5,425.0,3.0,7.0,"restaurant, pool, pet_friendly, spa"
A00340,B00329,1,Inn Paulista Saint,"Street dos Andradas, 616",Belo Horizonte,BR,-19.82255,-43.963869,3.8,632.0,5.0,8.8,"spa, bar, air_conditioning, wifi, pet_friendly, gym"
A00352,B00341,1,Europa II,Rua Central 308,Belo Horizonte,BR,-19.912013,-44.019986,4.7,674.0,4.0,9.2,"pet_friendly, spa, gym, bar, restaurant"
A00361,B00350,1,Inn Cathedral,"Rua dos Andradas, 4183",Belo Horizonte,BR,-19.943864,-43.965583,3.7,1.0,5.0,9.6,"restaurant, gym, parking, wifi, pool, spa"
A00362,B00351,1, Seine,"Pça. da República, 2673",Belo Horizonte,BR,-19.892441,-43.926989,4.2,902.0,5.0,9.3,"wifi, gym, bar, pet_friendly"
A00367,B00356,1,Inn Liberdade,"Praça Augusta, 2467",Belo Horizonte,BR,-20.032798,-43.881833,4.4,632.0,3.0,7.6,"pool, parking, air_conditioning, restaurant"
A00390,B00379,1,Suites Europa II,"Avenida Europa, 9944",Belo Horizonte,BR,-19.972748,-43.954677,3.4,824.0,4.0,8.0,"restaurant, bar, parking"
A00420,B00409,1,Palace Gaudí Saint,"Avenida das Flores, 2581",Belo Horizonte,BR,-19.93418,-43.818966,4.0,342.0,4.0,7.0,"bar, spa, pet_friendly"
A00079,B00068,1,Grand  Gaudí,"Rua das Flores, 6279",Barcelona,ES,41.345877,2.159832,5.0,167.0,3.0,7.1,"bar, pool, restaurant, spa, gym, wifi"
A00086,B00075,1,Residency Central,"Street Copacabana, 8005",Barcelona,ES,41.418982,2.279953,3.6,324.0,3.0,9.0,"pet_friendly, bar, parking"
A00088,B00077,1,Inn Seine,"Street Paulista, 9209",Barcelona,ES,41.372055,2.160406,3.5,919.0,4.0,9.7,"pet_friendly, pool, parking, bar, air_conditioning"
A00090,B00079,1,Inn Central,"Pça. Central, 8446",Barcelona,ES,41.397474,2.109987,4.7,818.0,5.0,8.9,"gym, bar, parking, pool, restaurant"
A00106,B00095,1,Suites Cathedral II,"Avenida Central, 1192",Barcelona,ES,41.418062,2.213277,4.7,270.0,4.0,7.1,"restaurant, bar, pet_friendly, gym, pool, air_conditioning"
A00109,B00098,1,Pousada Europa,Praça Augusta 9443,Barcelona,ES,41.355082,2.12126,5.0,384.0,5.0,7.6,"air_conditioning, spa, parking, bar, gym, pool"
A00128,B00117,1,Palace Lumière St.,"Avenida Liberdade, 5257",Barcelona,ES,41.395882,2.1604,4.6,530.0,4.0,9.0,"wifi, gym, air_conditioning"
A00133,B00122,1,Palace Seine,"Street das Flores, 6029",Barcelona,ES,41.392055,2.294146,3.7,1360.0,5.0,8.0,"pool, spa, bar, restaurant"
A00150,B00139,1,Suites Paulista Saint,"Street Liberdade, 4789",Barcelona,ES,41.357911,2.096538,3.3,26.0,4.0,9.7,"parking, spa, gym, wifi"
A00157,B00146,1,Residency Lumière,"Rua Copacabana, 5469",Barcelona,ES,41.257945,2.207585,4.1,737.0,3.0,7.4,"air_conditioning, restaurant, pet_friendly, spa, wifi, parking"
A00170,B00159,1,Pousada Central Saint,"Avenida da Sé, 5353",Barcelona,ES,41.369117,2.179497,4.5,179.0,3.0,9.4,"wifi, air_conditioning, parking, bar, pool"
A00172,B00161,1,Residency Paulista II,"Avenida Augusta, 9646",Barcelona,ES,41.318147,2.061549,4.3,382.0,4.0,7.2,"restaurant, gym, pool, pet_friendly, wifi, parking"
A00174,B00163,1,Residency Lumière,"Rua Paulista, 6574",Barcelona,ES,41.472446,2.046423,4.7,380.0,3.0,7.4,"air_conditioning, restaurant, pet_friendly, spa, wifi, parking"
A00182,B00171,1,Pousada Liberdade,"Praça dos Andradas, 8947",Barcelona,ES,41.447652,2.165042,4.5,852.0,5.0,8.2,"pool, air_conditioning, pet_friendly, gym"
A00186,B00175,1, Gaudí,"Praça da Sé, 2114",Barcelona,ES,41.390024,2.164299,2.9,938.0,4.0,9.5,"pet_friendly, wifi, gym, spa"
A00189,B00178,1,Suites Europa Saint,"Avenida Paulista, 1199",Barcelona,ES,41.384847,2.271247,4.9,534.0,5.0,9.1,"restaurant, wifi, air_conditioning"
A00207,B00196,1,Inn Paulista 2,"Avenue Liberdade, 8786",Barcelona,ES,41.407597,2.269158,3.6,687.0,5.0,9.0,"parking, wifi, pet_friendly"
A00210,B00199,1,Palace Augusta II,"Street dos Andradas, 3037",Barcelona,ES,41.306922,2.229213,4.6,1.0,3.0,8.8,"gym, pet_friendly, spa, pool, wifi"
A00220,B00209,1,Grand Hotel Gaudí II,"Street da Sé, 2462",Barcelona,ES,41.386866,2.273828,3.3,864.0,3.0,9.5,"restaurant, parking, pool, air_conditioning"
A00229,B00218,1,Palace Augusta II,Rua Copacabana 6257,Barcelona,ES,41.358098,2.160891,4.5,688.0,3.0,8.8,"gym, pet_friendly, spa, pool, wifi"
A00234,B00223,1,Inn Cathedral Saint,"Street das Flores, 1975",Barcelona,ES,41.386193,2.179595,4.7,451.0,5.0,9.0,"wifi, air_conditioning, pet_friendly, restaurant"
A00250,B00239,1,Suites Gaudí,"Street Central, 6817",Barcelona,ES,41.427384,2.126638,3.7,540.0,5.0,9.5,"parking, spa, wifi"
A00259,B00248,1,Palace Seine II,"Rua Central, 4659",Barcelona,ES,41.377729,2.152714,4.6,742.0,3.0,9.5,"air_conditioning, spa, gym, bar, wifi"
A00285,B00274,1,Palace Liberdade,"Rua dos Andradas, 7481",Barcelona,ES,41.400708,2.242554,4.4,310.0,4.0,8.1,"parking, restaurant, gym, wifi, pet_friendly"
A00288,B00277,1,Inn Seine,"Avenue Europa, 3867",Barcelona,ES,41.424999,2.19808,4.2,355.0,4.0,9.7,"pet_friendly, pool, parking, bar, air_conditioning"
A00299,B00288,1,Grand  Lumière,"Street da República, 4558",Barcelona,ES,41.37217,1.997736,4.1,26.0,5.0,8.1,"pet_friendly, spa, air_conditioning, gym, parking"
A00311,B00300,1,Hotel Augusta Saint,"Avenida Augusta, 2556",Barcelona,ES,41.415733,2.18898,4.5,136.0,3.0,7.5,"air_conditioning, gym, parking, restaurant"
A00317,B00306,1,Suites Central,"Avenue da Sé, 5104",Barcelona,ES,41.433045,2.217269,4.0,935.0,4.0,7.9,"gym, restaurant, pet_friendly, spa, parking"
A00318,B00307,1, Europa,"Praça Liberdade, 137",Barcelona,ES,41.407263,2.062158,4.2,630.0,5.0,7.6,"air_conditioning, gym, parking, bar, spa"
A00319,B00308,1,Palace Paulista Saint & Spa,"Avenue Copacabana, 3688",Barcelona,ES,41.461163,2.179129,4.3,1.0,5.0,9.3,"pool, air_conditioning, pet_friendly, bar"
A00331,B00320,1,Hotel Central,"Praça dos Andradas, 4335",Barcelona,ES,41.347224,2.204196,4.9,484.0,4.0,9.3,"restaurant, spa, air_conditioning, pet_friendly"
A00341,B00330,1,Palace Paulista II,"Avenida das Flores, 3876",Barcelona,ES,41.397875,2.130328,4.1,597.0,5.0,7.1,"gym, pet_friendly, air_conditioning"
A00342,B00331,1,Residency Lumière,"Rua Liberdade, 7383",Barcelona,ES,41.358322,2.138847,4.4,1002.0,3.0,7.4,"air_conditioning, restaurant, pet_friendly, spa, wifi, parking"
A00346,B00335,1,Residency Lumière Saint,"Praça da Sé, 7543",Barcelona,ES,41.465331,2.165183,3.4,110.0,5.0,9.1,"parking, air_conditioning, wifi, bar"
A00350,B00339,1,Residency Cathedral,"Rua das Flores, 187",Barcelona,ES,41.401026,2.107576,3.7,1257.0,3.0,7.5,"air_conditioning, spa, parking"
A00384,B00373,1,Pousada Gaudí,"Praça da Sé, 5309",Barcelona,ES,41.37226,2.246145,5.0,153.0,5.0,9.2,"restaurant, pool, wifi, parking"
A00386,B00375,1,Grand Hotel Cathedral II,"Praça Europa, 9324",Barcelona,ES,41.366243,2.158111,3.6,339.0,5.0,7.5,"air_conditioning, spa, pet_friendly"
A00405,B00394,1,Inn Augusta II,"Avenue Paulista, 693",Barcelona,ES,41.342153,2.090158,4.9,650.0,3.0,8.0,"restaurant, pet_friendly, air_conditioning, gym"
A00406,B00395,1,Pousada Europa II,Avenue Central 7934,Barcelona,ES,41.417096,2.235556,4.9,393.0,3.0,8.6,"spa, gym, wifi, bar"
A00419,B00408,1,Palace Copacabana,"Avenida da República, 4531",Barcelona,ES,41.4057,2.242637,4.7,88.0,3.0,9.5,"pet_friendly, spa, bar, parking, pool, gym"
A00081,B00070,1,Palace Augusta II,"Avenue Augusta, 7575",Porto,PT,41.154743,-8.578967,4.7,625.0,5.0,9.3,"air_conditioning, pool, wifi, restaurant, spa"
A00091,B00080,1,Hotel Augusta,"Rua da Sé, 5700",Porto,PT,41.125864,-8.666586,4.5,829.0,5.0,7.3,"spa, parking, air_conditioning, bar"
A00099,B00088,1,Pousada Paulista,"Praça da Sé, 5053",Porto,PT,41.205343,-8.587115,3.3,709.0,5.0,8.5,"spa, pool, bar"
A00139,B00128,1,Pousada Liberdade II,"Street dos Andradas, 1991",Porto,PT,41.114342,-8.56412,3.6,272.0,4.0,9.4,"wifi, parking, pool"
A00145,B00134,1,Grand Hotel Liberdade Saint,"Street da Sé, 4492",Porto,PT,41.20871,-8.643915,4.7,400.0,3.0,8.1,"pool, air_conditioning, parking"
A00152,B00141,1,Pousada Copacabana,"Street Liberdade, 4204",Porto,PT,41.183973,-8.689497,3.9,368.0,4.0,7.3,"air_conditioning, gym, pool, wifi"
A00164,B00153,1,Palace Gaudí,"Avenue Copacabana, 4676",Porto,PT,41.040033,-8.653791,4.3,107.0,3.0,9.5,"spa, gym, restaurant, pool"
A00166,B00155,1,Pousada Seine Saint,"Avenida das Flores, 1592",Porto,PT,41.065299,-8.587932,4.0,676.0,3.0,9.6,"wifi, spa, restaurant"
A00167,B00156,1,Inn Paulista Saint,"Avenue Central, 1705",Porto,PT,41.102994,-8.578827,4.6,506.0,3.0,8.1,"gym, restaurant, parking, pool"
A00178,B00167,1,Suites Paulista & Spa,"Avenida dos Andradas, 7834",Porto,PT,41.239583,-8.577407,4.0,574.0,4.0,9.5,"wifi, bar, restaurant, pet_friendly, parking"
A00209,B00198,1,Grand Hotel Gaudí 2 Boutique,"Avenue dos Andradas, 8985",Porto,PT,41.194764,-8.691655,3.8,720.0,5.0,8.6,"wifi, pet_friendly, spa"
A00212,B00201,1,Residency Copacabana Saint,"Street Liberdade, 9701",Porto,PT,41.090871,-8.701788,4.4,765.0,5.0,8.8,"air_conditioning, spa, pet_friendly, bar, parking"
A00236,B00225,1,Pousada Cathedral II,"Street Europa, 8536",Porto,PT,41.042898,-8.61402,4.4,848.0,3.0,9.1,"air_conditioning, spa, pool, restaurant, bar"
A00240,B00229,1,Inn Europa,"Praça Central, 7134",Porto,PT,41.15048,-8.541543,4.2,670.0,4.0,7.8,"bar, spa, pet_friendly, gym"
A00241,B00230,1,Residency Europa,"Avenue Copacabana, 670",Porto,PT,41.092319,-8.619658,4.3,243.0,5.0,7.8,"pool, parking, spa, air_conditioning, restaurant"
A00245,B00234,1,Pousada Lumière,"Rua Augusta, 156",Porto,PT,41.182672,-8.631517,4.7,1.0,4.0,8.6,"restaurant, parking, gym, bar, wifi, pet_friendly"
A00253,B00242,1,Hotel Augusta Saint,"Avenida das Flores, 9169",Porto,PT,41.124936,-8.600013,3.9,740.0,3.0,8.9,"restaurant, pool, wifi, air_conditioning, spa"
A00264,B00253,1,Grand Hotel Lumière,"Street da Sé, 7",Porto,PT,41.136505,-8.572487,4.7,937.0,4.0,8.0,"pool, parking, bar"
A00266,B00255,1,Hotel Augusta,"Street da Sé, 3808",Porto,PT,41.159674,-8.668504,4.8,626.0,5.0,7.3,"spa, parking, air_conditioning, bar"
A00269,B00258,1,Suites Cathedral Boutique,"Rua das Flores, 7685",Porto,PT,41.182048,-8.63013,4.5,499.0,4.0,7.4,"gym, restaurant, spa, wifi"
A00303,B00292,1,Grand Hotel Copacabana Saint,Rua Europa 8713,Porto,PT,41.037138,-8.626336,4.5,740.0,3.0,8.9,"pool, parking, spa, wifi, air_conditioning, pet_friendly"
A00335,B00324,1,Suites Augusta,"Avenue Europa, 8491",Porto,PT,41.152072,-8.618529,3.0,646.0,3.0,7.3,"pet_friendly, air_conditioning, pool, restaurant"
A00351,B00340,1,Suites Central,"Rua dos Andradas, 2295",Porto,PT,41.21035,-8.636415,3.9,288.0,4.0,8.5,"wifi, bar, restaurant, gym, spa, pet_friendly"
A00360,B00349,1,Suites Gaudí Saint,"Street das Flores, 184",Porto,PT,41.118347,-8.711166,4.4,711.0,3.0,8.6,"wifi, parking, air_conditioning, pet_friendly"
A00365,B00354,1,Palace Central Saint,"Avenue dos Andradas, 6510",Porto,PT,41.18717,-8.574389,3.7,249.0,3.0,7.3,"pool, wifi, spa, restaurant, bar"
A00369,B00358,1,Residency Augusta,St Augusta 8379,Porto,PT,41.087934,-8.626954,4.2,770.0,4.0,8.3,"pet_friendly, parking, bar, gym, air_conditioning"
A00379,B00368,1,Grand Hotel Augusta,Avenida da República 9118,Porto,PT,41.146926,-8.640448,3.1,331.0,5.0,8.8,"pool, wifi, spa, pet_friendly, bar, restaurant"
A00385,B00374,1,Hotel Cathedral,"Praça das Flores, 927",Porto,PT,41.162118,-8.545354,3.6,283.0,5.0,9.1,"pet_friendly, wifi, gym, restaurant, spa, bar"
A00393,B00382,1,Residency Cathedral Saint,"Praça dos Andradas, 1368",Porto,PT,41.213104,-8.590528,3.2,164.0,4.0,8.7,"air_conditioning, restaurant, pool, wifi, gym"
A00396,B00385,1,Inn Augusta St.,"Praça das Flores, 5163",Porto,PT,41.146753,-8.658061,4.6,1254.0,3.0,9.5,"spa, bar, pet_friendly, restaurant, air_conditioning"
A00399,B00388,1,Hotel Cathedral 2,"Avenue da República, 7383",Porto,PT,41.188726,-8.69801,5.0,275.0,4.0,7.0,"parking, air_conditioning, pool, bar, spa"
A00403,B00392,1,Pousada Augusta 2 & Spa,Pça. Central 8948,Porto,PT,41.070452,-8.648935,4.1,604.0,4.0,8.6,"pool, pet_friendly, wifi, restaurant, parking, spa"
A00409,B00398,1,Grand Hotel Augusta,Avenida dos Andradas 6749,Porto,PT,41.028309,-8.685651,3.8,479.0,5.0,8.8,"pool, wifi, spa, pet_friendly, bar, restaurant"
A00415,B00404,1,Pousada Cathedral II,"Praça Copacabana, 7608",Porto,PT,41.122824,-8.569514,3.7,985.0,3.0,9.1,"air_conditioning, spa, pool, restaurant, bar"
A00417,B00406,1,Palace Cathedral,"Street Liberdade, 6454",Porto,PT,41.101539,-8.624834,5.0,131.0,4.0,7.7,"wifi, pool, pet_friendly"
A00422,B00411,1,Suites Copacabana,"Avenue Liberdade, 5623",Porto,PT,41.104626,-8.542738,3.6,316.0,4.0,7.6,"pool, bar, air_conditioning"
A00425,B00414,1,Residency Gaudí II,"Praça Liberdade, 1141",Porto,PT,41.129738,-8.679232,4.5,409.0,4.0,8.2,"pool, parking, air_conditioning"
A00430,B00419,1,Palace Cathedral Saint,"Rua dos Andradas, 6692",Porto,PT,41.169614,-8.599822,3.2,868.0,3.0,8.1,"gym, wifi, spa, air_conditioning"
A00076,B00065,1,Pousada Central Boutique,"Street dos Andradas, 770",São Paulo,BR,-23.479726,-46.553075,2.5,600.0,4.0,7.9,"wifi, pool, spa"
A00082,B00071,1,Grand Hotel Gaudí,"Street Augusta, 2694",São Paulo,BR,-23.544134,-46.581807,3.8,389.0,5.0,7.2,"air_conditioning, pet_friendly, pool, wifi, gym, spa"
A00083,B00072,1,Hotel Gaudí,"Praça da República, 5865",São Paulo,BR,-23.542395,-46.690904,4.9,446.0,5.0,7.7,"pool, parking, gym, pet_friendly, restaurant"
A00087,B00076,1,Inn Gaudí Boutique,"Avenida das Flores, 1960",São Paulo,BR,-23.568292,-46.672178,4.1,692.0,4.0,9.5,"bar, spa, pool, parking, air_conditioning"
A00104,B00093,1,Inn Liberdade II,"Avenue da Sé, 5487",São Paulo,BR,-23.598353,-46.691781,4.6,737.0,4.0,9.0,"spa, air_conditioning, wifi, bar"
A00116,B00105,1,Suites Europa II,"Pça. Central, 7902",São Paulo,BR,-23.578573,-46.501441,4.9,339.0,4.0,8.6,"gym, parking, pet_friendly, spa"
A00136,B00125,1,Inn Augusta,"Avenida Paulista, 3877",São Paulo,BR,-23.454674,-46.562748,4.8,335.0,5.0,9.3,"spa, gym, wifi, parking"
A00160,B00149,1,Suites Copacabana,"Avenue Central, 146",São Paulo,BR,-23.524398,-46.645663,3.6,484.0,4.0,7.8,"pool, restaurant, spa, bar, air_conditioning"
A00180,B00169,1,Grand Hotel Liberdade Saint,"Street Europa, 4905",São Paulo,BR,-23.469354,-46.653583,5.0,832.0,4.0,7.7,"pool, air_conditioning, parking, restaurant"
A00190,B00179,1,Hotel Lumière,"Street Paulista, 4910",São Paulo,BR,-23.521544,-46.623905,4.4,706.0,4.0,8.8,"wifi, air_conditioning, bar, parking"
A00194,B00183,1,Palace Liberdade,"Rua Paulista, 5593",São Paulo,BR,-23.65781,-46.541598,4.1,422.0,5.0,9.3,"bar, wifi, pet_friendly"
A00218,B00207,1,Suites Gaudí,"Avenida Europa, 8570",São Paulo,BR,-23.583432,-46.584392,3.9,518.0,5.0,8.2,"pet_friendly, gym, air_conditioning, parking"
A00223,B00212,1,Pousada Europa,"Praça dos Andradas, 1377",São Paulo,BR,-23.458306,-46.600098,4.4,749.0,5.0,7.1,"restaurant, pet_friendly, air_conditioning, gym"
A00226,B00215,1,Pousada Seine,"Avenue dos Andradas, 7910",São Paulo,BR,-23.625324,-46.565945,3.8,1213.0,4.0,8.3,"bar, air_conditioning, spa, wifi, pet_friendly, pool"
A00242,B00231,1,Pousada Gaudí Saint,Street Central 5570,São Paulo,BR,-23.555985,-46.742515,3.6,799.0,5.0,8.1,"wifi, restaurant, spa, gym, parking, pool"
A00244,B00233,1,Grand Hotel Gaudí Saint & Spa,"Rua da Sé, 9088",São Paulo,BR,-23.528493,-46.611278,3.8,610.0,3.0,8.3,"bar, wifi, gym, pet_friendly, pool, air_conditioning"
A00260,B00249,1,Palace Central Saint,Avenida Paulista 6032,São Paulo,BR,-23.534311,-46.536732,4.0,475.0,5.0,7.5,"pet_friendly, air_conditioning, wifi, pool"
A00268,B00257,1,Suites Liberdade Saint,"Praça da Sé, 6208",São Paulo,BR,-23.632542,-46.572283,3.8,441.0,5.0,9.5,"gym, restaurant, wifi, parking, spa"
A00277,B00266,1,Residency Cathedral,"Avenida Europa, 5566",São Paulo,BR,-23.536652,-46.566391,4.3,1167.0,3.0,8.2,"restaurant, spa, air_conditioning, wifi, pet_friendly, gym"
A00279,B00268,1,Grand Hotel Lumière,"Avenue Central, 2438",São Paulo,BR,-23.560143,-46.623466,4.6,529.0,4.0,9.0,"gym, pet_friendly, wifi, parking"
A00281,B00270,1,Hotel Gaudí,"Avenida da República, 7095",São Paulo,BR,-23.522608,-46.645514,3.6,298.0,5.0,7.7,"pool, parking, gym, pet_friendly, restaurant"
A00282,B00271,1,Pousada Paulista,"Rua da Sé, 4889",São Paulo,BR,-23.437699,-46.6521,2.6,469.0,4.0,7.4,"parking, pet_friendly, bar, gym"
A00287,B00276,1,Inn Lumière,"Avenida Europa, 8932",São Paulo,BR,-23.606631,-46.573581,4.3,726.0,5.0,9.1,"restaurant, pet_friendly, gym"
A00297,B00286,1,Inn Seine Saint,"Avenida das Flores, 8149",São Paulo,BR,-23.527174,-46.594844,4.1,280.0,4.0,9.0,"wifi, restaurant, bar, pet_friendly, air_conditioning, parking"
A00333,B00322,1,Suites Central,"Praça da Sé, 4501",São Paulo,BR,-23.501525,-46.612644,3.8,868.0,5.0,7.6,"restaurant, wifi, air_conditioning"
A00333,B00391,1,Suites Central,"Praça da Sé, 4501",São Paulo,BR,-23.501525,-46.612644,3.8,868.0,5.0,7.6,"restaurant, wifi, air_conditioning"
A00336,B00325,1,Suites Lumière 2,Street da República 3505,São Paulo,BR,-23.530228,-46.574708,4.9,794.0,5.0,8.9,"restaurant, pool, pet_friendly, air_conditioning, wifi"
A00337,B00326,1,Palace Seine Saint,"Avenue Liberdade, 68",São Paulo,BR,-23.462253,-46.653982,3.2,273.0,3.0,8.6,"pet_friendly, air_conditioning, gym, spa, pool, parking"
A00343,B00332,1,Hotel Lumière St.,"Street da República, 9077",São Paulo,BR,-23.651277,-46.692159,4.5,627.0,5.0,9.0,"pet_friendly, pool, air_conditioning, restaurant, wifi"
A00347,B00336,1,Inn Cathedral,"Avenida Central, 3137",São Paulo,BR,-23.599051,-46.578177,3.4,286.0,5.0,8.2,"air_conditioning, wifi, restaurant, gym, pool"
A00353,B00342,1,Inn Seine II,Street Augusta 8113,São Paulo,BR,-23.582536,-46.606103,2.9,324.0,3.0,9.0,"bar, restaurant, pool, wifi, pet_friendly"
A00363,B00352,1,Palace Central,"Rua da República, 3962",São Paulo,BR,-23.551895,-46.606302,3.8,412.0,5.0,9.1,"pool, wifi, air_conditioning"
A00370,B00359,1,Suites Lumière & Spa,"Praça Central, 3855",São Paulo,BR,-23.50408,-46.654338,4.5,257.0,5.0,7.9,"pet_friendly, spa, air_conditioning, wifi, bar"
A00377,B00366,1,Inn Augusta Saint,"Avenida Europa, 5878",São Paulo,BR,-23.504071,-46.680027,4.4,397.0,5.0,8.2,"parking, pool, wifi, spa"
A00387,B00376,1,Pousada Gaudí & Spa,"Rua Copacabana, 5594",São Paulo,BR,-23.601088,-46.642143,4.1,368.0,3.0,7.3,"parking, gym, wifi, spa, restaurant"
A00402,B00322,1,Pousada Central II,"Rua da República, 1284",São Paulo,BR,-23.499592,-46.617889,3.0,817.0,3.0,7.2,"parking, air_conditioning, pool, bar, pet_friendly, wifi"
A00402,B00391,1,Pousada Central II,"Rua da República, 1284",São Paulo,BR,-23.499592,-46.617889,3.0,817.0,3.0,7.2,"parking, air_conditioning, pool, bar, pet_friendly, wifi"
A00404,B00393,1,Pousada Augusta,"Avenida da República, 3623",São Paulo,BR,-23.620586,-46.628239,4.9,371.0,3.0,8.4,"air_conditioning, parking, restaurant, bar, wifi, spa"
A00426,B00415,1,Grand Hotel Liberdade,"Rua Copacabana, 4087",São Paulo,BR,-23.566319,-46.635117,4.7,163.0,4.0,8.2,"parking, spa, pool"
A00093,B00082,1,Palace Liberdade,"Street da Sé, 5089",Paris,FR,48.830264,2.307425,2.7,345.0,5.0,8.2,"pet_friendly, parking, pool, wifi"
A00102,B00091,1,Suites Europa,"Avenue da República, 3441",Paris,FR,48.840316,2.359116,4.2,792.0,3.0,9.1,"spa, air_conditioning, pool, wifi, restaurant, gym"
A00111,B00100,1,Grand Hotel Copacabana,"Rua Augusta, 4965",Paris,FR,48.764916,2.367924,4.7,818.0,5.0,8.4,"bar, pool, air_conditioning"
A00113,B00102,1,Residency Paulista Saint,Rua dos Andradas 7450,Paris,FR,48.874926,2.409479,4.1,438.0,4.0,8.8,"bar, restaurant, pet_friendly"
